"Locality","Reef Zones Surveyed","Description of Characteristics","Benthic Survey Years","Coral Survey Years","Fish Survey Years"
"1062","BR, DFR, SFR","Primarily flat substrate with reef structure spread throughout. Large patches of coral colony.","2010-2018, 2021, 2023","2010-2018, 2021","2010-2015, 2017, 2018, 2021, 2023"
"1071","DFR, SFR",NA,"2012-2018","2012-2018","2012-2015, 2017, 2018"
"1206","BR, DFR, SFR","Large reef structure, with significant rugosity.","2010-2018, 2021, 2023","2010-2018, 2021","2010-2015, 2017, 2018, 2021, 2023"
"2226","SFR",NA,"2012-2013","2012-2013","NA"
"Caye Bokel (CB)","BR, DFR, SFR",NA,"2010-2018, 2021, 2023","2010-2018, 2021","2010-2015, 2017, 2018, 2021, 2023"
"Cockroach Zone 2 (CZ2)","DFR, SFR","Large spur and groove reef structure.","2014-2018, 2021, 2023","2014-2018, 2021","2015, 2017, 2018, 2021, 2023"
"Mauger Point (MP)","BR, DFR, SFR",NA,"2013-2018, 2021, 2023","2013-2018, 2021","2013-2015, 2017, 2018, 2021, 2023"
"Soldier Point (SP)","BR, DFR, SFR",NA,"2013-2018, 2021, 2023","2013-2018","2013-2015, 2017, 2018, 2021, 2023"
"West Point 4 (WP4)","BR, DFR, SFR","The survey area is on a slope, with reef structures located on large areas of sand.","2010-2018, 2021, 2023","2010-2018, 2021","2010-2015, 2017, 2018, 2021, 2023"
"West Point 5 (WP5)","BR, DFR, SFR","The survey area is on a slope, with reef structures located on large areas of sand.","2010-2012, 2014-2018, 2021, 2023","2010-2018, 2021","2010-2015, 2021, 2023"
"West Point 6 (WP6)","BR, DFR, SFR",NA,"2010-2012","2010-2012","NA"
