Year,Date,Site,Transect,Uniq_Transect,Protocol,Start_Time,Temp,Species,Num,Collector,Notes
2010,2010-08-27,1062BR,1,2010.F.1062BR.1,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,1,2010.F.1062BR.1,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,1,2010.F.1062BR.1,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,1,2010.F.1062BR.1,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,1,2010.F.1062BR.1,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,1,2010.F.1062BR.1,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,2,2010.F.1062BR.2,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,2,2010.F.1062BR.2,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,2,2010.F.1062BR.2,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,2,2010.F.1062BR.2,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,2,2010.F.1062BR.2,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,2,2010.F.1062BR.2,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,3,2010.F.1062BR.3,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,3,2010.F.1062BR.3,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,3,2010.F.1062BR.3,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,3,2010.F.1062BR.3,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,3,2010.F.1062BR.3,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,3,2010.F.1062BR.3,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,4,2010.F.1062BR.4,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,4,2010.F.1062BR.4,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,4,2010.F.1062BR.4,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,4,2010.F.1062BR.4,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,4,2010.F.1062BR.4,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,4,2010.F.1062BR.4,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,5,2010.F.1062BR.5,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,5,2010.F.1062BR.5,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,5,2010.F.1062BR.5,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,5,2010.F.1062BR.5,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,5,2010.F.1062BR.5,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,5,2010.F.1062BR.5,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,6,2010.F.1062BR.6,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,6,2010.F.1062BR.6,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,6,2010.F.1062BR.6,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,6,2010.F.1062BR.6,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,6,2010.F.1062BR.6,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,6,2010.F.1062BR.6,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,7,2010.F.1062BR.7,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,7,2010.F.1062BR.7,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,7,2010.F.1062BR.7,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,7,2010.F.1062BR.7,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,7,2010.F.1062BR.7,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,7,2010.F.1062BR.7,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,8,2010.F.1062BR.8,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,8,2010.F.1062BR.8,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062BR,8,2010.F.1062BR.8,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,8,2010.F.1062BR.8,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,8,2010.F.1062BR.8,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062BR,8,2010.F.1062BR.8,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,1,2010.F.1062DFR.1,MBRS,MISSING,MISSING,DiademaJuv,3,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,1,2010.F.1062DFR.1,MBRS,MISSING,MISSING,Diadema,1,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,1,2010.F.1062DFR.1,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,1,2010.F.1062DFR.1,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,1,2010.F.1062DFR.1,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,1,2010.F.1062DFR.1,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,2,2010.F.1062DFR.2,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,2,2010.F.1062DFR.2,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,2,2010.F.1062DFR.2,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,2,2010.F.1062DFR.2,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,2,2010.F.1062DFR.2,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,2,2010.F.1062DFR.2,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,3,2010.F.1062DFR.3,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,3,2010.F.1062DFR.3,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,3,2010.F.1062DFR.3,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,3,2010.F.1062DFR.3,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,3,2010.F.1062DFR.3,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,3,2010.F.1062DFR.3,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,4,2010.F.1062DFR.4,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,4,2010.F.1062DFR.4,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,4,2010.F.1062DFR.4,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,4,2010.F.1062DFR.4,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,4,2010.F.1062DFR.4,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,4,2010.F.1062DFR.4,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,5,2010.F.1062DFR.5,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,5,2010.F.1062DFR.5,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,5,2010.F.1062DFR.5,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,5,2010.F.1062DFR.5,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,5,2010.F.1062DFR.5,MBRS,MISSING,MISSING,Conch,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,5,2010.F.1062DFR.5,MBRS,MISSING,MISSING,Cucumbers,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,6,2010.F.1062DFR.6,MBRS,MISSING,MISSING,DiademaJuv,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,6,2010.F.1062DFR.6,MBRS,MISSING,MISSING,Diadema,0,VIAL,VAFI also a collector
2010,2010-08-27,1062DFR,6,2010.F.1062DFR.6,MBRS,MISSING,MISSING,OtherUrchins,MISSING,VIAL,Not surveyed in 2010
2010,2010-08-27,1062DFR,6,2010.F.1062DFR.6,MBRS,MISSING,MISSING,Lobster,MISSING,VIAL,Not surveyed in 2010
