Year,Date,Site,Transect,Uniq_Transect,Protocol,Start_Time,Start_Depth,End_Depth,Temp,Organism,Isolates,Depth_Top,Max_Diam,Max_Length,Max_Width,Max_Height,OD,TD,RD,Disease,Percent_Pale,Percent_Bleach,Bleaching,Collector,Notes
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,SSID,MISSING,MISSING,20,MISSING,MISSING,11,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,46,MISSING,MISSING,14,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,SSID,MISSING,MISSING,45,MISSING,MISSING,25,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,40,MISSING,MISSING,40,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,PFUR,MISSING,MISSING,40,MISSING,MISSING,23,90,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,96,MISSING,MISSING,59,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,DLAB,MISSING,MISSING,25,MISSING,MISSING,21,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,23,MISSING,MISSING,9,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,AAGA,MISSING,MISSING,15,MISSING,MISSING,8,80,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,SSID,MISSING,MISSING,30,MISSING,MISSING,20,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,AAGA,MISSING,MISSING,20,MISSING,MISSING,11,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,70,MISSING,MISSING,45,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,30,MISSING,MISSING,18,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,1,2010.C.WP4BR.1,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,68,MISSING,MISSING,43,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,26,MISSING,MISSING,22,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,18,MISSING,MISSING,8,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,75,MISSING,MISSING,42,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,66,MISSING,MISSING,40,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,AAGA,MISSING,MISSING,13,MISSING,MISSING,9,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,13,MISSING,MISSING,11,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,75,MISSING,MISSING,21,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,2,2010.C.WP4BR.2,MBRS,15:30,3,3,MISSING,OANN,MISSING,MISSING,15,MISSING,MISSING,7,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,17,MISSING,MISSING,12,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,PFUR,MISSING,MISSING,14,MISSING,MISSING,8,40,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,90,MISSING,MISSING,28,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,98,MISSING,MISSING,37,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,12,MISSING,MISSING,5,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,19,MISSING,MISSING,9,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,15,MISSING,MISSING,12,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,11,MISSING,MISSING,8,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,47,MISSING,MISSING,21,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,19,MISSING,MISSING,21,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,3,2010.C.WP4BR.3,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,27,MISSING,MISSING,14,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,AAGA,MISSING,MISSING,15,MISSING,MISSING,8,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,ATEN,MISSING,MISSING,16,MISSING,MISSING,7,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,AAGA,MISSING,MISSING,13,MISSING,MISSING,9,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,24,MISSING,MISSING,26,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,30,MISSING,MISSING,31,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,SSID,MISSING,MISSING,120,MISSING,MISSING,34,60,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,23,MISSING,MISSING,20,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,43,MISSING,MISSING,30,50,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,30,MISSING,MISSING,27,60,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,DLAB,MISSING,MISSING,38,MISSING,MISSING,26,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,14,MISSING,MISSING,11,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,SSID,MISSING,MISSING,18,MISSING,MISSING,7,75,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,PSTR,MISSING,MISSING,80,MISSING,MISSING,68,30,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,66,MISSING,MISSING,19,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,MALC,MISSING,MISSING,38,MISSING,MISSING,34,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,DLAB,MISSING,MISSING,31,MISSING,MISSING,24,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-29,WP4BR,4,2010.C.WP4BR.4,MBRS,15:30,3,3,MISSING,PAST,MISSING,MISSING,27,MISSING,MISSING,18,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,1,2010.C.WP4SFR.1,MBRS,10:45,5,5,MISSING,MCOM,MISSING,MISSING,20,MISSING,MISSING,12,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,1,2010.C.WP4SFR.1,MBRS,10:45,5,5,MISSING,AAGA,MISSING,MISSING,16,MISSING,MISSING,5,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,1,2010.C.WP4SFR.1,MBRS,10:45,5,5,MISSING,PDIV,MISSING,MISSING,24,MISSING,MISSING,11,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,1,2010.C.WP4SFR.1,MBRS,10:45,5,5,MISSING,MALC,MISSING,MISSING,16,MISSING,MISSING,10,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,1,2010.C.WP4SFR.1,MBRS,10:45,5,5,MISSING,MALC,MISSING,MISSING,24,MISSING,MISSING,26,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,1,2010.C.WP4SFR.1,MBRS,10:45,5,5,MISSING,PAST,MISSING,MISSING,12,MISSING,MISSING,5,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,2,2010.C.WP4SFR.2,MBRS,10:45,5,5,MISSING,PDIV,MISSING,MISSING,12,MISSING,MISSING,5,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,2,2010.C.WP4SFR.2,MBRS,10:45,5,5,MISSING,AAGA,MISSING,MISSING,15,MISSING,MISSING,7,10,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,2,2010.C.WP4SFR.2,MBRS,10:45,5,5,MISSING,PAST,MISSING,MISSING,21,MISSING,MISSING,12,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,2,2010.C.WP4SFR.2,MBRS,10:45,5,5,MISSING,MALC,MISSING,MISSING,16,MISSING,MISSING,14,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,2,2010.C.WP4SFR.2,MBRS,10:45,5,5,MISSING,AAGA,MISSING,MISSING,19,MISSING,MISSING,14,30,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,2,2010.C.WP4SFR.2,MBRS,10:45,5,5,MISSING,AAGA,MISSING,MISSING,13,MISSING,MISSING,8,40,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,3,2010.C.WP4SFR.3,MBRS,10:45,5,5,MISSING,AAGA,MISSING,MISSING,14,MISSING,MISSING,6,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,3,2010.C.WP4SFR.3,MBRS,10:45,5,5,MISSING,AAGA,MISSING,MISSING,11,MISSING,MISSING,6,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,3,2010.C.WP4SFR.3,MBRS,10:45,5,5,MISSING,DSTO,MISSING,MISSING,15,MISSING,MISSING,10,60,MISSING,0,None,MISSING,MISSING,UB,CECA,
2010,2010-07-30,WP4SFR,3,2010.C.WP4SFR.3,MBRS,10:45,5,5,MISSING,AAGA,MISSING,MISSING,20,MISSING,MISSING,11,0,MISSING,0,None,MISSING,MISSING,UB,CECA,
