Organism,Bucket,Bucket_Name,Bucket2,Bucket2_Name,AGRRA_Bucket,AGRRA_Code,MBRS_Code,Org_Name,Aphia_ID,GBIF_ID,IUCN_ID,Height?,Bleaching,ND_A,Genus,Species,Notes
AAGA,AGAR,Agaricia,CORAL,Coral,Coral,AAGA,UAGA,Agaricia agaricites,287911,2260503,/133535/165937610,No,Yes,Yes,Agaricia,Agaricia agaricites,
ACER,ACRO,Acropora,CORAL,Coral,Coral,ACER,ACER,Acropora cervicornis,206989,5184681,/133381/165860142,No,Yes,Yes,Acropora,Acropora cervicornis,
ACET,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,ACET,ACET,Acetabularia,144059,5184681,NA,Yes,No,No,Acetabularia,NA,
ACRO,ACRO,Acropora,CORAL,Coral,Coral,ACRO,ACRO,Acropora,205469,7673664,NA,No,Yes,Yes,Acropora,NA,
AFRA,AGAR,Agaricia,CORAL,Coral,Coral,AFRA,AFRA,Agaricia fragilis,287912,11353393,/133153/165744304,No,Yes,Yes,Agaricia,Agaricia fragilis,
AGAR,AGAR,Agaricia,CORAL,Coral,Coral,AGAR,UNDA,Agaricia,204464,2260501,NA,No,Yes,Yes,Agaricia,NA,Previously Undaria
AHUM,AGAR,Agaricia,CORAL,Coral,Coral,AHUM,UHUM,Agaricia humilis,287914,2260507,/133255/165798056,No,Yes,Yes,Agaricia,Agaricia humilis,
AINV,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates_Agressive,AINV,AINV,Uncategorized Aggressive Invertebrate,NA,NA,NA,No,No,No,NA,NA,
ALAM,AGAR,Agaricia,CORAL,Coral,Coral,ALAM,ALAM,Agaricia lamarcki,287915,2260504,/132970/165654031,No,Yes,Yes,Agaricia,Agaricia lamarcki,
AMPH,MA,Macroalgae,MA,Macroalgae,Algae_Macro_Calcareous,AMPH,AMP,Amphiroa,135351,3250683,NA,Yes,No,No,Amphiroa,NA,
ANEM,INVERTS,Invertebrates,INVERTS,Invertebrates,Invertebrates,OINV,ANEM,Anemones,1360,NA,NA,No,No,No,NA,NA,
APAL,ACRO,Acropora,CORAL,Coral,Coral,APAL,APAL,Acropora palmata,288227,5184657,/133006/165672016,No,Yes,Yes,Acropora,Acropora palmata,
APRO,ACRO,Acropora,CORAL,Coral,Coral,APRO,APRO,Acropora prolifera,288235,5720678,NA,No,Yes,Yes,Acropora,Acropora prolifera,
ATEN,AGAR,Agaricia,CORAL,Coral,Coral,ATEN,UTEN,Agaricia tenuifolia,287916,2260502,/133439/165891280,No,Yes,Yes,Agaricia,Agaricia tenuifolia,
